,CUI Part,status,RECOM series,candidates,vin_min,vin_max,vout_1,vout_2,isolation_vac,# full matches,# match Vin MIN,# match Vin MAX,# match Vout 1,# match Vout 2,# match Isolation,# match Num outputs,Recom 1,Recom 2,Recom 3,Recom 4,Recom 5
0,VOF-4-24-P,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
1,VOF-4-15-P,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
2,VOF-4-12-P,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
3,VOF-4-5-P,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
4,VOF-4-3-P,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
5,VOF-4-24,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
6,VOF-4-15,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
7,VOF-4-12,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
8,VOF-4-5,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
9,VOF-4-3,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
10,PSK-4-24,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
11,PSK-4-15,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
12,PSK-4-12,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
13,PSK-4-5,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
14,PSK-4-3,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
15,VOF-6B-S24,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
16,VOF-6B-S15,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
17,VOF-6B-S12,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
18,VOF-6B-S9,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
19,VOF-6B-S5,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
20,PSK-6B-S24,CUI series not found in cross-list,,,,,,,,,,,,,,,,,,,
21,PSK-6B-S15,CUI series not found in cross-list,,,,,,,,,,,,,,,,,,,
22,PSK-6B-S12,CUI series not found in cross-list,,,,,,,,,,,,,,,,,,,
23,PSK-6B-S9,CUI series not found in cross-list,,,,,,,,,,,,,,,,,,,
24,PSK-6B-S5,CUI series not found in cross-list,,,,,,,,,,,,,,,,,,,
25,VOF-S12C-5,matched 4,RACM15E-K,27 RECOM candidates,90.0,264.0,5.0,,3000.0,4 of 27,24,24,4,27,24,24,RACM15E-05SK/OF,RACM15E-05SK/PMAD-CTN,RACM15E-05SK/PMAD-T,RACM15E-05SK/PMCD-CTN,
26,VOF-S12B-5,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
27,PSK-S12B-5,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
28,VOF-10B-S9,No crosslisting matches,RAC10-K,2 RECOM candidates,85.0,264.0,9.0,,4000.0,0 of 2,,,,,,,,,,,
29,VOF-10B-S5,No crosslisting matches,RAC10-K,2 RECOM candidates,85.0,264.0,5.0,,4000.0,0 of 2,,,,,,,,,,,
30,PSK-10B-S9,CUI series not found in cross-list,,,,,,,,,,,,,,,,,,,
31,PSK-10B-S5,CUI series not found in cross-list,,,,,,,,,,,,,,,,,,,
32,VOF-10B-S12,No crosslisting matches,RAC10-K,2 RECOM candidates,85.0,264.0,12.0,,4000.0,0 of 2,,,,,,,,,,,
33,PSK-10B-S12,CUI series not found in cross-list,,,,,,,,,,,,,,,,,,,
34,VOF-10B-S15,No crosslisting matches,RAC10-K,2 RECOM candidates,85.0,264.0,15.0,,4000.0,0 of 2,,,,,,,,,,,
35,PSK-10B-S15,CUI series not found in cross-list,,,,,,,,,,,,,,,,,,,
36,VOF-10B-S24,No crosslisting matches,RAC10-K,2 RECOM candidates,85.0,264.0,24.0,,4000.0,0 of 2,,,,,,,,,,,
37,PSK-10B-S24,CUI series not found in cross-list,,,,,,,,,,,,,,,,,,,
38,VOF-S12C-24,matched 4,RACM15E-K,27 RECOM candidates,90.0,264.0,24.0,,3000.0,4 of 27,24,24,4,27,24,24,RACM15E-24SK/OF,RACM15E-24SK/PMAD-CTN,RACM15E-24SK/PMAD-T,RACM15E-24SK/PMCD-CTN,
39,VOF-S12C-15,matched 4,RACM15E-K,27 RECOM candidates,90.0,264.0,15.0,,3000.0,4 of 27,24,24,4,27,24,24,RACM15E-15SK/OF,RACM15E-15SK/PMAD-CTN,RACM15E-15SK/PMAD-T,RACM15E-15SK/PMCD-CTN,
40,VOF-S12C-12,matched 4,RACM15E-K,27 RECOM candidates,90.0,264.0,12.0,,3000.0,4 of 27,24,24,4,27,24,24,RACM15E-12SK/OF,RACM15E-12SK/PMAD-CTN,RACM15E-12SK/PMAD-T,RACM15E-12SK/PMCD-CTN,
41,VOF-S12C-9,No crosslisting matches,RACM15E-K,27 RECOM candidates,90.0,264.0,9.0,,3000.0,0 of 27,,,,,,,,,,,
42,VOF-S12B-24,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
43,VOF-S12B-15,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
44,VOF-S12B-12,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
45,VOF-S12B-9,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
46,PSK-S12B-24,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
47,PSK-S12B-15,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
48,PSK-S12B-12,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
49,PSK-S12B-9,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
50,VMS-20-3.3,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
51,VOF-15B-S5,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
52,PSK-15B-S5,CUI series not found in cross-list,,,,,,,,,,,,,,,,,,,
53,VOF-15B-S9,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
54,PSK-15B-S9,CUI series not found in cross-list,,,,,,,,,,,,,,,,,,,
55,VOF-15B-S24,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
56,VOF-15B-S15,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
57,VOF-15B-S12,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
58,PSK-15B-S24,CUI series not found in cross-list,,,,,,,,,,,,,,,,,,,
59,PSK-15B-S15,CUI series not found in cross-list,,,,,,,,,,,,,,,,,,,
60,PSK-15B-S12,CUI series not found in cross-list,,,,,,,,,,,,,,,,,,,
61,VOF-15B-S48,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
62,PSK-15B-S48,CUI series not found in cross-list,,,,,,,,,,,,,,,,,,,
63,PSK-20B-S5,CUI series not found in cross-list,,,,,,,,,,,,,,,,,,,
64,PSK-20B-S9,CUI series not found in cross-list,,,,,,,,,,,,,,,,,,,
65,VOF-20B-S12,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
66,PSK-20B-S12,CUI series not found in cross-list,,,,,,,,,,,,,,,,,,,
67,VOF-20B-S15,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
68,PSK-20B-S15,CUI series not found in cross-list,,,,,,,,,,,,,,,,,,,
69,VMS-40-3.3,No crosslisting matches,RACM40-K,48 RECOM candidates,90.0,264.0,3.3,,,0 of 48,,,,,,,,,,,
70,VOF-S25C-5,No crosslisting matches,RAC20NE-K,35 RECOM candidates,90.0,264.0,5.0,,3000.0,0 of 35,,,,,,,,,,,
71,VOF-S25B-5,matched 4,RAC20-K,24 RECOM candidates,90.0,264.0,5.0,,3000.0,4 of 24,23,23,4,21,23,20,RAC20-05SK,RAC20-05SK/X5A,RAC20-05SK/X2A,RAC20-05SK/X6,
72,VOF-20B-S48,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
73,PSK-20B-S48,CUI series not found in cross-list,,,,,,,,,,,,,,,,,,,
74,VMS-20-5,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
75,VOF-20B-S24,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
76,PSK-20B-S24,CUI series not found in cross-list,,,,,,,,,,,,,,,,,,,
77,VMS-20-12,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
78,VMS-20-9,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
79,VMS-20-15,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
80,VMS-20-24,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
81,VOF-S25C-48,No crosslisting matches,RAC20NE-K,35 RECOM candidates,90.0,264.0,48.0,,3000.0,0 of 35,,,,,,,,,,,
82,VOF-S25C-36,No crosslisting matches,RAC20NE-K,35 RECOM candidates,90.0,264.0,36.0,,3000.0,0 of 35,,,,,,,,,,,
83,VOF-S25C-24,No crosslisting matches,RAC20NE-K,35 RECOM candidates,90.0,264.0,24.0,,3000.0,0 of 35,,,,,,,,,,,
84,VOF-S25C-15,No crosslisting matches,RAC20NE-K,35 RECOM candidates,90.0,264.0,15.0,,3000.0,0 of 35,,,,,,,,,,,
85,VOF-S25C-12,No crosslisting matches,RAC20NE-K,35 RECOM candidates,90.0,264.0,12.0,,3000.0,0 of 35,,,,,,,,,,,
86,VOF-S25B-48,matched 1,RAC20-K,24 RECOM candidates,90.0,264.0,48.0,,3000.0,1 of 24,23,23,1,21,23,20,RAC20-48SK,,,,
87,VOF-S25B-36,No crosslisting matches,RAC20-K,24 RECOM candidates,90.0,264.0,36.0,,3000.0,0 of 24,,,,,,,,,,,
88,VOF-S25B-24,matched 5,RAC20-K,24 RECOM candidates,90.0,264.0,24.0,,3000.0,5 of 24,23,23,5,21,23,20,RAC20-24SK,RAC20-24SK/X8A,RAC20-24SK/X5A,RAC20-24SK/OVG,RAC20-24SK/X6
89,VOF-S25B-15,matched 1,RAC20-K,24 RECOM candidates,90.0,264.0,15.0,,3000.0,1 of 24,23,23,2,21,23,20,RAC20-15SK,,,,
90,VOF-S25B-12,matched 5,RAC20-K,24 RECOM candidates,90.0,264.0,12.0,,3000.0,5 of 24,23,23,7,21,23,20,RAC20-12SK,RAC20-12SK/X2-34,RAC20-12SK/X5A,RAC20-12SK/OVG,RAC20-12SK/X6
91,PSK-S25B-36,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
92,PSK-S25B-24,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
93,PSK-S25B-15,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
94,PSK-S25B-12,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
95,VMS-40-5,No crosslisting matches,RACM40-K,48 RECOM candidates,90.0,264.0,5.0,,,0 of 48,,,,,,,,,,,
96,VOF-S60C-5,matched 9,RACM60-K,65 RECOM candidates,90.0,264.0,5.0,,3000.0,9 of 65,59,59,9,65,59,59,RACM60-05SK/OF,RACM60-05SK/OF-CTN,RACM60-05SK/OF/PCB-T,RACM60-05SK/OF/2x4,RACM60-05SK/OF/2x4-CTN
97,VOF-S60B-5,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
98,PSK-S60B-5,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
99,VMS-60-5,No crosslisting matches,RACM60-K,65 RECOM candidates,90.0,264.0,5.0,,,0 of 65,,,,,,,,,,,
100,VMS-40-9,No crosslisting matches,RACM40-K,48 RECOM candidates,90.0,264.0,9.0,,,0 of 48,,,,,,,,,,,
101,VMS-40-48,No crosslisting matches,RACM40-K,48 RECOM candidates,90.0,264.0,48.0,,,0 of 48,,,,,,,,,,,
102,VMS-40-36,No crosslisting matches,RACM40-K,48 RECOM candidates,90.0,264.0,36.0,,,0 of 48,,,,,,,,,,,
103,VMS-40-30,No crosslisting matches,RACM40-K,48 RECOM candidates,90.0,264.0,30.0,,,0 of 48,,,,,,,,,,,
104,VMS-40-24,No crosslisting matches,RACM40-K,48 RECOM candidates,90.0,264.0,24.0,,,0 of 48,,,,,,,,,,,
105,VMS-40-15,No crosslisting matches,RACM40-K,48 RECOM candidates,90.0,264.0,15.0,,,0 of 48,,,,,,,,,,,
106,VMS-40-12,No crosslisting matches,RACM40-K,48 RECOM candidates,90.0,264.0,12.0,,,0 of 48,,,,,,,,,,,
107,VMS-45-48-CNF,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
108,VMS-45-36-CNF,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
109,VMS-45-24-CNF,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
110,VMS-45-15-CNF,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
111,VMS-45-12-CNF,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
112,VMS-45-5-CNF,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
113,VMS-45-3-CNF,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
114,VOF-50B-24,matched 12,RACM60-K,65 RECOM candidates,90.0,264.0,24.0,,3000.0,12 of 65,59,59,12,65,59,59,RACM60-24SK/OF,RACM60-24SK/OF-CTN,RACM60-24SK/OF/PCB-T,RACM60-24SK/OF/2x4,RACM60-24SK/OF/2x4/6P
115,VOF-50B-12,matched 11,RACM60-K,65 RECOM candidates,90.0,264.0,12.0,,3000.0,11 of 65,59,59,11,65,59,59,RACM60-12SK/OF,RACM60-12SK/OF/XR,RACM60-12SK/OF-CTN,RACM60-12SK/OF/PCB-T,RACM60-12SK/OF/2x4
116,VOF-50B-15,matched 9,RACM60-K,65 RECOM candidates,90.0,264.0,15.0,,3000.0,9 of 65,59,59,9,65,59,59,RACM60-15SK/OF,RACM60-15SK/OF-CTN,RACM60-15SK/OF/PCB-T,RACM60-15SK/OF/2x4,RACM60-15SK/OF/2x4-CTN
117,VOF-S60C-48,matched 9,RACM60-K,65 RECOM candidates,90.0,264.0,48.0,,3000.0,9 of 65,59,59,9,65,59,59,RACM60-48SK/OF,RACM60-48SK/OF-CTN,RACM60-48SK/OF/PCB-T,RACM60-48SK/OF/2x4,RACM60-48SK/OF/2x4-CTN
118,VOF-S60C-36,matched 9,RACM60-K,65 RECOM candidates,90.0,264.0,36.0,,3000.0,9 of 65,59,59,9,65,59,59,RACM60-36SK/OF,RACM60-36SK/OF-CTN,RACM60-36SK/OF/PCB-T,RACM60-36SK/OF/2x4,RACM60-36SK/OF/2x4-CTN
119,VOF-S60C-24,matched 12,RACM60-K,65 RECOM candidates,90.0,264.0,24.0,,3000.0,12 of 65,59,59,12,65,59,59,RACM60-24SK/OF,RACM60-24SK/OF-CTN,RACM60-24SK/OF/PCB-T,RACM60-24SK/OF/2x4,RACM60-24SK/OF/2x4/6P
120,VOF-S60C-15,matched 9,RACM60-K,65 RECOM candidates,90.0,264.0,15.0,,3000.0,9 of 65,59,59,9,65,59,59,RACM60-15SK/OF,RACM60-15SK/OF-CTN,RACM60-15SK/OF/PCB-T,RACM60-15SK/OF/2x4,RACM60-15SK/OF/2x4-CTN
121,VOF-S60C-12,matched 11,RACM60-K,65 RECOM candidates,90.0,264.0,12.0,,3000.0,11 of 65,59,59,11,65,59,59,RACM60-12SK/OF,RACM60-12SK/OF/XR,RACM60-12SK/OF-CTN,RACM60-12SK/OF/PCB-T,RACM60-12SK/OF/2x4
122,VOF-S60B-48,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
123,VOF-S60B-36,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
124,VOF-S60B-24,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
125,VOF-S60B-15,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
126,VOF-S60B-12,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
127,PSK-S60B-36,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
128,PSK-S60B-24,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
129,PSK-S60B-15,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
130,PSK-S60B-12,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
131,VMS-60-48,No crosslisting matches,RACM60-K,65 RECOM candidates,90.0,264.0,48.0,,,0 of 65,,,,,,,,,,,
132,VMS-60-24,No crosslisting matches,RACM60-K,65 RECOM candidates,90.0,264.0,24.0,,,0 of 65,,,,,,,,,,,
133,VMS-60-15,No crosslisting matches,RACM60-K,65 RECOM candidates,90.0,264.0,15.0,,,0 of 65,,,,,,,,,,,
134,VMS-60-12,No crosslisting matches,RACM60-K,65 RECOM candidates,90.0,264.0,12.0,,,0 of 65,,,,,,,,,,,
135,VBM-70-36-H,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
136,VBM-70-36,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
137,VBM-70-48-H,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
138,VBM-70-24-H,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
139,VBM-70-12-H,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
140,VBM-70-48,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
141,VBM-70-24,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
142,VBM-70-12,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
143,VOF-70B-48,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
144,VOF-70B-24,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
145,VOF-70B-12,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
146,VSUU-120-3.3,CUI series not found in cross-list,,,,,,,,,,,,,,,,,,,
147,VSBU-120-3.3,CUI series not found in cross-list,,,,,,,,,,,,,,,,,,,
148,VSBU-120-D305,CUI series not found in cross-list,,,,,,,,,,,,,,,,,,,
149,VOF-80B-48-P,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
150,VOF-80B-24-P,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
151,VOF-80B-15-P,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
152,VOF-80B-12-P,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
153,VOF-80B-48,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
154,VOF-80B-24,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
155,VOF-80B-15,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
156,VOF-80B-12,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
157,VOF-80B-48-C,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
158,VOF-80B-24-C,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
