,row,CUI Part,status,RECOM series,candidates,vin_min,vin_max,vout_1,vout_2,isolation_vac,# full matches,RECOM_Artikelnummer,RECOM_Bezeichnung 1,RECOM_Inputvoltage,RECOM_Outputvoltage,RECOM_Isolation,RECOM_ProductgroupBezeichnung,score
0,25,VOF-S12C-5,matched 4,RACM15E-K,27 RECOM candidates,90.0,264.0,5.0,,3000.0,4 of 27,20001539,RACM15E-05SK/OF,80-275,05,4.2KV,RACM15E-K,0.0
1,25,VOF-S12C-5,matched 4,RACM15E-K,27 RECOM candidates,90.0,264.0,5.0,,3000.0,4 of 27,20001545,RACM15E-05SK/PMAD-CTN,80-275,05,4.2KV,RACM15E-K,0.0
2,25,VOF-S12C-5,matched 4,RACM15E-K,27 RECOM candidates,90.0,264.0,5.0,,3000.0,4 of 27,20001731,RACM15E-05SK/PMAD-T,80-275,05,4.2KV,RACM15E-K,0.0
3,25,VOF-S12C-5,matched 4,RACM15E-K,27 RECOM candidates,90.0,264.0,5.0,,3000.0,4 of 27,20001594,RACM15E-05SK/PMCD-CTN,80-275,05,4.2KV,RACM15E-K,0.0
4,38,VOF-S12C-24,matched 4,RACM15E-K,27 RECOM candidates,90.0,264.0,24.0,,3000.0,4 of 27,20001542,RACM15E-24SK/OF,80-275,24,4.2KV,RACM15E-K,0.0
5,38,VOF-S12C-24,matched 4,RACM15E-K,27 RECOM candidates,90.0,264.0,24.0,,3000.0,4 of 27,20001548,RACM15E-24SK/PMAD-CTN,80-275,24,4.2KV,RACM15E-K,0.0
6,38,VOF-S12C-24,matched 4,RACM15E-K,27 RECOM candidates,90.0,264.0,24.0,,3000.0,4 of 27,20001734,RACM15E-24SK/PMAD-T,80-275,24,4.2KV,RACM15E-K,0.0
7,38,VOF-S12C-24,matched 4,RACM15E-K,27 RECOM candidates,90.0,264.0,24.0,,3000.0,4 of 27,20001597,RACM15E-24SK/PMCD-CTN,80-275,24,4.2KV,RACM15E-K,0.0
8,39,VOF-S12C-15,matched 4,RACM15E-K,27 RECOM candidates,90.0,264.0,15.0,,3000.0,4 of 27,20001541,RACM15E-15SK/OF,80-275,15,4.2KV,RACM15E-K,0.0
9,39,VOF-S12C-15,matched 4,RACM15E-K,27 RECOM candidates,90.0,264.0,15.0,,3000.0,4 of 27,20001547,RACM15E-15SK/PMAD-CTN,80-275,15,4.2KV,RACM15E-K,0.0
10,39,VOF-S12C-15,matched 4,RACM15E-K,27 RECOM candidates,90.0,264.0,15.0,,3000.0,4 of 27,20001733,RACM15E-15SK/PMAD-T,80-275,15,4.2KV,RACM15E-K,0.0
11,39,VOF-S12C-15,matched 4,RACM15E-K,27 RECOM candidates,90.0,264.0,15.0,,3000.0,4 of 27,20001596,RACM15E-15SK/PMCD-CTN,80-275,15,4.2KV,RACM15E-K,0.0
12,40,VOF-S12C-12,matched 4,RACM15E-K,27 RECOM candidates,90.0,264.0,12.0,,3000.0,4 of 27,20001540,RACM15E-12SK/OF,80-275,12,4.2KV,RACM15E-K,0.0
