,CUI Part,CUI Series,status,RECOM series,RECOM Series matches,vin_min,vin_max,vout_1,vout_2,isolation,num_outputs,Recom 1,Recom 2,Recom 3,Recom 4,match_count,Recom 5
0,PHP1-S3-S5-M,php1-m,invalid series,R1SE-xxxx/H2-R,0,,,,,,,,,,,,
1,PCM1-S5-S5-SA,pcm1-sa,invalid series,No RECOM Cross,0,,,,,,,,,,,,
2,PCN2-S5-D15-S,pcn2-s,matched 4,RKZE,113,4.5,5.5,15.0,-15.0,1000.0,2.0,RKZE-0515D,RKZE-0515D/H,RKZE-0515D/P,RKZE-0515D/HP,4.0,
3,PCN2-S5-D12-S,pcn2-s,matched 4,RKZE,113,4.5,5.5,12.0,-12.0,1000.0,2.0,RKZE-0512D,RKZE-0512D/H,RKZE-0512D/P,RKZE-0512D/HP,4.0,
4,PCN2-S5-D5-S,pcn2-s,matched 4,RKZE,113,4.5,5.5,5.0,-5.0,1000.0,2.0,RKZE-0505D,RKZE-0505D/H,RKZE-0505D/P,RKZE-0505D/HP,4.0,
5,PCN2-S5-S15-S,pcn2-s,matched 4,RKZE,113,4.5,5.5,15.0,,1000.0,1.0,RKZE-0515S,RKZE-0515S/H,RKZE-0515S/P,RKZE-0515S/HP,4.0,
6,PCN2-S5-S12-S,pcn2-s,matched 4,RKZE,113,4.5,5.5,12.0,,1000.0,1.0,RKZE-0512S,RKZE-0512S/H,RKZE-0512S/P,RKZE-0512S/HP,4.0,
7,PCN2-S5-S5-S,pcn2-s,matched 4,RKZE,113,4.5,5.5,5.0,,1000.0,1.0,RKZE-0505S,RKZE-0505S/H,RKZE-0505S/P,RKZE-0505S/HP,4.0,
8,PCSA1-S5-S15-S,pcsa1-s,matched 1,ROE,15,4.5,5.5,15.0,,1000.0,1.0,ROE-0515S,,,,1.0,
9,PCSA1-S5-S12-S,pcsa1-s,matched 1,ROE,15,4.5,5.5,12.0,,1000.0,1.0,ROE-0512S,,,,1.0,
10,PCSA1-S5-S5-S,pcsa1-s,matched 3,ROE,15,4.5,5.5,5.0,,1000.0,1.0,ROE-0505S,CU-ROE-0505S,WE-ROE-0505S,,3.0,
11,PHP1-S5-S15-M,php1-m,invalid series,R1SE-xxxx/H2-R,0,,,,,,,,,,,,
12,PHP1-S5-S12-M,php1-m,invalid series,R1SE-xxxx/H2-R,0,,,,,,,,,,,,
13,PHP1-S5-S5-M,php1-m,invalid series,R1SE-xxxx/H2-R,0,,,,,,,,,,,,
14,PEM1A-S5-S5-S,pem1a-s,invalid series,No RECOM Cross,0,,,,,,,,,,,,
15,PCM1-S5-S5-S,pcm1-s,No pcm1-s in Series Crosses @ Trustbit CUI.xlsx file,,,,,,,,,,,,,,
16,PCN1-S5-D15-M,pcn1-m,invalid series,No RECOM Cross,0,,,,,,,,,,,,
17,PCN1-S5-D12-M,pcn1-m,invalid series,No RECOM Cross,0,,,,,,,,,,,,
18,PCN1-S5-D5-M,pcn1-m,invalid series,No RECOM Cross,0,,,,,,,,,,,,
19,PCN1-S5-S15-M,pcn1-m,invalid series,No RECOM Cross,0,,,,,,,,,,,,
20,PCN1-S5-S12-M,pcn1-m,invalid series,No RECOM Cross,0,,,,,,,,,,,,
21,PCN1-S5-S5-M,pcn1-m,invalid series,No RECOM Cross,0,,,,,,,,,,,,
22,PCN1-S5-D15-S,pcn1-s,matched 2,RB,317,4.5,5.5,15.0,-15.0,1500.0,2.0,RB-0515D/H,RB-0515D/HP,,,2.0,
23,PCN1-S5-D12-S,pcn1-s,matched 2,RB,317,4.5,5.5,12.0,-12.0,1500.0,2.0,RB-0512D/H,RB-0512D/HP,,,2.0,
24,PCN1-S5-D5-S,pcn1-s,matched 2,RB,317,4.5,5.5,5.0,-5.0,1500.0,2.0,RB-0505D/H,RB-0505D/HP,,,2.0,
25,PCN1-S5-S15-S,pcn1-s,matched 2,RB,317,4.5,5.5,15.0,,1500.0,1.0,RB-0515S/H,RB-0515S/HP,,,2.0,
26,PCN1-S5-S12-S,pcn1-s,matched 2,RB,317,4.5,5.5,12.0,,1500.0,1.0,RB-0512S/H,RB-0512S/HP,,,2.0,
27,PCN1-S5-S5-S,pcn1-s,matched 2,RB,317,4.5,5.5,5.0,,1500.0,1.0,RB-0505S/H,RB-0505S/HP,,,2.0,
28,PDQ2-D5-D15-S,pdq2-s,invalid series,No RECOM Cross,0,,,,,,,,,,,,
29,PDQ2-D5-D12-S,pdq2-s,invalid series,No RECOM Cross,0,,,,,,,,,,,,
30,PDQ2-D5-D5-S,pdq2-s,invalid series,No RECOM Cross,0,,,,,,,,,,,,
31,PDQ2-D5-S15-S,pdq2-s,invalid series,No RECOM Cross,0,,,,,,,,,,,,
32,PDQ2-D5-S12-S,pdq2-s,invalid series,No RECOM Cross,0,,,,,,,,,,,,
33,PDQ2-D5-S5-S,pdq2-s,invalid series,No RECOM Cross,0,,,,,,,,,,,,
34,PDQ2-D5-S3-S,pdq2-s,invalid series,No RECOM Cross,0,,,,,,,,,,,,
35,P78A03-0500,p78a-0500,matched 2,R-78E-0.5,11,6.0,28.0,3.3,,0.0,1.0,R-78E3.3-0.5,R-78E3.3-0.5/X9,,,2.0,
36,P78A03-1000,p78a-1000,matched 1,R-78E-1.0,6,7.0,28.0,3.3,,0.0,1.0,R-78E3.3-1.0,,,,1.0,
