final IN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
id;company;product_series;part_number;converter_type;ac_voltage_input_min;ac_voltage_input_max;dc_voltage_input_min;dc_voltage_input_max;input_voltage_tolerance;power;is_regulated;regulation_voltage_range;efficiency;isolation_test_duration;isolation_test_unit_VDC;isolation_test_voltage_VDC;isolation_test_voltage_VAC;Isolation grade;voltage_output_1;voltage_output_2;voltage_output_3;i_out1;i_out2;i_out3;output_type;Load_regulation;Load_regulation_typ_max;Line_regulation;Accuracy;Package_Style;pin_count;mounting_type;connection_type;dimensions_unit;dimensions_length;dimensions_width;dimensions_height;protexc;protections;OVC_category;operating_temp_min;operating_temp_max;;Protection SCP;Protection OLP;Protection OVP;Protection OCP;Protection OTP;;Certification EN 60950-1;Certification UL 60950-1;Certification EN 50155;Certification EN 60601-1;Certification UL 60601-1;Certification EN 61010-1;Certification EN 61347-1;Certification EN 60601-1-2;Certification EN 60335-1;Certification EN 62368-1;Certification UL 62368-1;Certification IEC 60950-1
1;recom;REM1;REM1-0505S;DC/DC;;;4,5;5,5;10;1;0;;80;60;VDC;5200;4000;reinforced;5;;;0,2;;;Single;12%;max;+/- 1.2%/1%;'+/-5%;SIP7;4;PCB Mount;THT;mm;19,6;6;10,2;IEC/EN60601-1,ANSI/AAMIES60601-1,EN62368-1,IEC60601-1-2;;;-40;85;;;;;;;;;;;;;;;;;;;
2;recom;REM1;REM1-0505S;DC/DC;;;4,5;5,5;10;1;0;;80;60;VAC;4000;;;5;;;0,2;;;Single;;;bei geregeltem Wandler, nur Prozenzwert;;;4;PCB Mount;THT;mm;19,6;6;10,2;IEC/EN60601-1,ANSI/AAMIES60601-1,EN62368-1,IEC60601-1-2;;;-40;85;;;;;;;;;;;;;;;;;;;
3;recom;REM1;REM1-0512S;DC/DC;;;4,5;5,5;10;1;0;;84;60;VDC;5200;;;12;;;0,084;;;Single;;;;;;4;PCB Mount;THT;mm;19,6;6;10,2;IEC/EN60601-1,ANSI/AAMIES60601-1,EN62368-1,IEC60601-1-2;;;-40;85;;;;;;;;;;;;;;;;;;;
4;recom;REM1;REM1-053.3S;DC/DC;;;4,5;5,5;10;1;0;;79;60;VDC;5200;;;3,3;;;0,303;;;Single;;;;;;4;PCB Mount;THT;mm;19,6;6;10,2;IEC/EN60601-1,ANSI/AAMIES60601-1,EN62368-1,RoHS2+;reinforced isolation,2MOPP;;-40;85;;;;;;;;;;;;;;;;;;;
5;recom;REM1;REM1-053.3S;DC/DC;;;4,5;5,5;10;1;0;;79;60;VAC;4000;;;3,3;;;0,303;;;Single;;;;;;4;PCB Mount;THT;mm;19,6;6;10,2;IEC/EN60601-1,ANSI/AAMIES60601-1,EN62368-1,RoHS2+;reinforced isolation,2MOPP;;-40;85;;;;;;;;;;;;;;;;;;;
6;recom;REM1;REM1-1205S;DC/DC;;;10,8;13,2;;1;0;;81;60;VDC;5200;;;5;;;0,2;;;Single;;;;;;4;PCB Mount;THT;mm;19,6;6;10,2;IEC/EN60601-1,ANSI/AAMIES60601-1,EN62368-1,RoHS2+;;;-40;85;;;;;;;;;;;;;;;;;;;
7;recom;REM1;REM1-123.3S;DC/DC;;;10,8;13,2;10;1;0;;78;60;VDC;5200;;;3,3;;;0,303;;;Single;;;;;;4;PCB Mount;THT;mm;19,6;6;10,2;IEC60601-1,EN60601-1,EN62368-1,ANSI/AAMIES60601-1,CSAC22.2No.60601-1;2MOPP isolation;;-40;85;;;;;;;;;;;;;;;;;;;
8;recom;REM1;REM1-123.3S;DC/DC;;;10,8;13,2;10;1;0;;78;60;VAC;4000;;;3,3;;;0,303;;;Single;;;;;;4;PCB Mount;THT;mm;19,6;6;10,2;IEC60601-1,EN60601-1,EN62368-1,ANSI/AAMIES60601-1,CSAC22.2No.60601-1;2MOPP isolation;;-40;85;;;;;;;;;;;;;;;;;;;
9;recom;REM1;REM1-1505S;DC/DC;;;13,5;16,5;10;1;0;;81;60;VDC;5200;;;5;;;;;;Single;;;;;;4;PCB Mount;THT;mm;19,6;6;10,2;IEC60601-1,EN60601-1,EN62368-1,ANSI/AAMIES60601-1;;;-40;85;;;;;;;;;;;;;;;;;;;
10;recom;REM1;REM1-153.3S;DC/DC;;;13,5;16,5;;1;;;77;60;VDC;5200;;;3,3;;;0,303;;;Single;;;;;;4;PCB Mount;THT;mm;19,6;6;10,2;IEC60601-1,EN60601-1,ANSI/AAMIES60601-1,EN62368-1,RoHS2+;;;-40;85;;;;;;;;;;;;;;;;;;;
11;recom;REM1;REM1-2405S;DC/DC;;;21,6;26,4;10;1;0;;80;60;VDC;5200;;;5;;;0,2;;;Single;;;;;;4;PCB Mount;THT;mm;19,6;6;10,2;IEC/EN60601-1,ANSI/AAMIES60601-1,EN62368-1,IEC60601-1-2;;;-40;85;;;;;;;;;;;;;;;;;;;
12;recom;REM1;REM1-2405S;DC/DC;;;21,6;26,4;10;1;0;;80;60;VAC;4000;;;5;;;0,2;;;Single;;;;;;4;PCB Mount;THT;mm;19,6;6;10,2;IEC/EN60601-1,ANSI/AAMIES60601-1,EN62368-1,IEC60601-1-2;;;-40;85;;;;;;;;;;;;;;;;;;;
13;recom;REM1;REM1-243.3S;DC/DC;;;24;24;10;1;0;;76;60;VDC;5200;;;3,3;;;0,303;;;Single;;;;;;4;PCB Mount;THT;mm;19,6;6;10,2;IEC60601-1,EN60601-1,EN62368-1,ANSI/AAMIES60601-1;;;-40;85;;;;;;;;;;;;;;;;;;;
14;recom;REM1;REM1-243.3S;DC/DC;;;24;24;10;1;0;;76;60;VAC;4000;;;3,3;;;0,303;;;Single;;;;;;4;PCB Mount;THT;mm;19,6;6;10,2;IEC60601-1,EN60601-1,EN62368-1,ANSI/AAMIES60601-1;;;-40;85;;;;;;;;;;;;;;;;;;;
15;recom;REM1;REM1-3.305S;DC/DC;;;3,3;3,3;10;1;0;;81;60;VDC;5200;;;5;;;0,2;;;Single;;;;;;4;PCB Mount;THT;mm;19,6;6;10,2;IEC60601-1,EN60601-1,EN62368-1,ANSI/AAMIES60601-1;;;-40;85;;;;;;;;;;;;;;;;;;;
16;recom;REM1;REM1-3.305S;DC/DC;;;3,3;3,3;10;1;0;;81;60;VAC;4000;;;5;;;0,2;;;Single;;;;;;4;PCB Mount;THT;mm;19,6;6;10,2;IEC60601-1,EN60601-1,EN62368-1,ANSI/AAMIES60601-1;;;-40;85;;;;;;;;;;;;;;;;;;;
17;recom;REM1;REM1-3.312S;DC/DC;;;3,3;3,3;10;1;0;;85;60;VDC;5200;;;12;;;0,084;;;Single;;;;;;4;PCB Mount;THT;mm;19,6;6;10,2;IEC/EN60601-1,ANSI/AAMIES60601-1,EN62368-1,IEC60601-1-2;;;-40;85;;;;;;;;;;;;;;;;;;;
18;recom;REM1;REM1-3.33.3S;DC/DC;;;3;3,6;10;1;0;;78;60;VDC;5200;;;3,3;;;0,303;;;Single;;;;;;4;PCB Mount;THT;mm;19,6;6;10,2;IEC/EN60601-1,ANSI/AAMIES60601-1,EN62368-1,IEC60601-1-2,EN55011;2MOPP isolation;;-40;85;;;;;;;;;;;;;;;;;;;
19;recom;REM1;REM1-3.33.3S;DC/DC;;;3;3,6;10;1;0;;78;60;VAC;4000;;;3,3;;;0,303;;;Single;;;;;;4;PCB Mount;THT;mm;19,6;6;10,2;IEC/EN60601-1,ANSI/AAMIES60601-1,EN62368-1,IEC60601-1-2,EN55011;2MOPP isolation;;-40;85;;;;;;;;;;;;;;;;;;;
20;recom;REDIIN240;REDIIN240-24;AC/DC;90;264;;;;240;1;;90;60;VAC;3000;;;24;;;;;;Single;;;;;;5;DIN-Rail;Terminal;mm;123,6;40;116,8;IEC62368-1,EN62368-1,UL62368-1,IEC61010-1,EN61010-1,UL61010-1,IEC61010-2-201,EN61010-2-201,UL61010-2-201;Short Circuit Protection,Over Voltage Protection,Over Current Protection,Over Temperature Protection;;-30;70;;;;;;;;;;;;;;;;;;;
21;recom;REDIIN240;REDIIN240-48;AC/DC;90;264;;;;240;;;90,5;60;VAC;3000;;;48;;;5;;;Single;;;;;;5;DIN-Rail;;mm;123,6;40;116,8;IEC/EN/UL62368-1,IEC/EN/UL61010-1,IEC/EN/UL/CSA61010-2-201;Short Circuit Protection,Over Voltage Protection,Over Current Protection,Over Temperature Protection;;-30;70;;;;;;;;;;;;;;;;;;;
22;recom;REDIIN480;REDIIN480-24;AC/DC;90;264;;;;480;1;;93;60;VAC;3000;;;24;;;;;;;;;;;;4;DIN-Rail;;mm;123,6;56;116,8;CB,CE,UL62368-1,EN62368-1,IEC61010-1,EN61010-1,UL61010-1;Over Voltage Protection,Over Current Protection,Short Circuit Protection,Over Temperature Protection;;-30;70;;;;;;;;;;;;;;;;;;;
23;recom;REDIIN480;REDIIN480-48;AC/DC;90;264;;;;480;1;;93,5;60;VAC;3000;;;48;;;;;;;;;;;;5;DIN-Rail;;mm;123,6;56;116,8;IEC/EN/UL62368-1,IEC/EN/UL61010-1,IEC/EN/UL/CSA61010-2-201,EN61000-6-4,EN61000-6-2,RoHS;Short Circuit Protection,Over Voltage Protection,Over Current Protection,Over Temperature Protection;;-30;70;;;;;;;;;;;;;;;;;;;
24;recom;RAC15-K/480;RAC15-05SK/480;AC/DC;85;528;;;;15;1;;86;60;VAC;3600;;;5;;;3;;;Single;;;;;;4;PCB Mount;THT;mm;52,5;40;25,5;UL62368-1,EN62368-1,IEC62368-1,EN61010-1,EN60335-1,EN62233,EN55032;Short Circuit Protection,Over Voltage Protection,Over Current Protection;;-40;90;;;;;;;;;;;;;;;;;;;
25;recom;RAC15-K/480;RAC15-12SK/480;AC/DC;85;528;;;;15;1;;84;60;VAC;3600;;;12;;;1,25;;;Single;;;;;;4;PCB Mount;THT;mm;52,5;40;25,5;UL62368-1,EN62368-1,IEC61010-1,EN60335-1,EN62233,EN55032;Short Circuit Protection,Over Voltage Protection,Over Current Protection;;-40;90;;;;;;;;;;;;;;;;;;;
26;recom;RAC15-K/480;RAC15-15SK/480;AC/DC;85;528;;;;15;1;;85;60;VAC;3600;;;15;;;1;;;Single;;;;;;4;PCB Mount;THT;mm;52,5;40;25,5;UL62368-1,EN62368-1,IEC61010-1,EN60335-1,EN62233,EN55032;Short Circuit Protection,Over Voltage Protection,Over Current Protection;;-40;90;;;;;;;;;;;;;;;;;;;
27;recom;RAC15-K/480;RAC15-24SK/480;AC/DC;85;528;;;;15;1;;87;60;VAC;3600;;;24;;;0,625;;;Single;;;;;;4;PCB Mount;THT;mm;52,5;40;25,5;UL62368-1,EN62368-1,IEC62368-1,EN61010-1,EN60335-1,EN62233,EN55032;Short Circuit Protection,Over Voltage Protection,Over Current Protection;;-40;90;;;;;;;;;;;;;;;;;;;
28;recom;R1SE;R1SE-0505;DC/DC;;;5;5;10;1;0;;75;1;VDC;1000;;;5;;;0,2;;;Single;;;;;;5;PCB Mount;SMD;mm;12,75;10,7;6,7;UL60950-1,CAN/CSAC22.2No.60950-1-03,EAC;Short Circuit Protection;;-40;85;;;;;;;;;;;;;;;;;;;
29;recom;R1SE;R1SE-0505-R;DC/DC;;;4,5;5,5;10;1;0;;75;1;VDC;1000;;;5;;;0,2;;;Single;;;;;;5;PCB Mount;SMD;mm;12,75;10,7;6,7;UL60950-1,CAN/CSAC22.2No.60950-1-03,EAC,RoHS2+;Short Circuit Protection;;-40;85;;;;;;;;;;;;;;;;;;;
30;recom;R1SE;R1SE-0505-R;DC/DC;;;4,5;5,5;10;1;0;;75;60;VAC;500;;;5;;;0,2;;;Single;;;;;;5;PCB Mount;SMD;mm;12,75;10,7;6,7;UL60950-1,CAN/CSAC22.2No.60950-1-03,EAC,RoHS2+;Short Circuit Protection;;-40;85;;;;;;;;;;;;;;;;;;;
31;recom;R1SE;R1SE8-0505;DC/DC;;;5;5;10;1;0;01:01;75;1;VDC;1000;;;5;;;0,2;;;Single;;;;;;5;PCB Mount;SMD;mm;12,75;10,7;6,7;UL60950-1,CAN/CSAC22.2No.60950-1-03,EAC,RoHS;Short Circuit Protection;;-40;85;;;;;;;;;;;;;;;;;;;
32;recom;R1SE;R1SE8-0505-R;DC/DC;;;5;5;10;1;0;;75;1;VDC;1000;;;5;;;0,2;;;Single;;;;;;4;PCB Mount;SMD;mm;12,75;10,7;6,7;UL60950-1,CAN/CSAC22.2No.60950-1-03,EAC,RoHS2+;Short Circuit Protection;;-40;85;;;;;;;;;;;;;;;;;;;
33;recom;RAC03-K;RAC03-05SK;AC/DC;85;264;;;;3;1;;74;60;VAC;3000;;;5;;;0,6;;;Single;;;;;;4;PCB Mount;THT;mm;28,5;23,5;17,9;UL62368-1,EN62368-1,EN60335-1,EN55032,EN55024,IEC61558-1,IEC61558-2-16;Short Circuit Protection,Over Voltage Protection,Over Current Protection;;-40;80;;;;;;;;;;;;;;;;;;;
34;recom;RAC03-K;RAC03-12SK;AC/DC;85;264;;;;3;1;;78;60;VAC;3000;;;12;;;0,25;;;Single;;;;;;4;PCB Mount;THT;mm;28,5;23,5;17,9;UL62368-1,EN62368-1,EN60335-1,EN55032,EN55024,IEC61558-1;Short Circuit Protection,Over Current Protection,Over Voltage Protection;;-40;80;;;;;;;;;;;;;;;;;;;
35;recom;RAC03-K;RAC03-15SK;AC/DC;85;264;;;;3;1;;75;60;VAC;3000;;;15;;;0,2;;;Single;;;;;;4;PCB Mount;THT;mm;28,5;23,5;17,9;UL62368-1,EN62368-1,EN60335-1,EN55032,EN55024,IEC61558-1,CB;Short Circuit Protection,Over Current Protection,Over Voltage Protection;;-40;80;;;;;;;;;;;;;;;;;;;
36;recom;RAC03-K;RAC03-18SK;AC/DC;85;264;;;;3;;;;60;VAC;3000;;;18;;;0,17;;;Single;;;;;;4;PCB Mount;THT;mm;28,5;23,5;17,9;UL62368-1,EN62368-1,EN60335-1,EN55032,EN55024,IEC61558-1,IEC61558-2-16;Short Circuit Protection,Over Current Protection,Over Voltage Protection;;-40;80;;;;;;;;;;;;;;;;;;;
37;recom;RAC03-K;RAC03-24SK;AC/DC;85;264;;;;3;1;;77;60;VAC;3000;;;24;;;0,125;;;Single;;;;;;4;PCB Mount;THT;mm;28,5;23,5;17,9;UL62368-1,CAN/CSAC22.2No.62368-1-14,IEC62368-1,EN62368-1,IEC60335-1,EN60335-1;;;-40;80;;;;;;;;;;;;;;;;;;;
38;recom;RAC03-K;RAC03-3.3SK;AC/DC;85;264;;;;3;1;;69;60;VAC;3000;;;3,3;;;0,9;;;Single;;;;;;4;PCB Mount;THT;mm;28,5;23,5;17,9;UL62368-1,EN62368-1,IEC60335-1,EN60335-1,EN55032,EN55024,EN61204-3;Short Circuit Protection,Over Current Protection,Over Voltage Protection;;-40;80;;;;;;;;;;;;;;;;;;;
39;recom;RP120Q-RW;RP120Q-11005SRW;DC/DC;;;40;160;;120;1;04:01;89;60;VAC;3000;;;5;;;;;;;;;;;;8;PCB Mount;THT;mm;57,9;36,6;12,7;EN50155,IEC/EN60950-1;Short Circuit Protection,Over Voltage Protection,Over Load Protection,Over Temperature Protection;;-40;85;;;;;;;;;;;;;;;;;;;
40;recom;RP120Q-RW;RP120Q-11005SRW/N-HC;DC/DC;;;40;160;;120;1;;89;60;VAC;3000;;;5;;;;;;;;;;;;8;PCB Mount;THT;mm;57,9;36,6;18,8;EN50155,IEC/EN60950-1,RoHS2+;Short Circuit Protection,Over Voltage Protection,Over Load Protection,Over Temperature Protection;;-40;85;;;;;;;;;;;;;;;;;;;
41;recom;RP120Q-RW;RP120Q-11005SRW/P;DC/DC;;;40;160;;120;1;04:01;89;60;VAC;3000;;;5;;;24;;;Single;;;;;;8;PCB Mount;THT;mm;57,9;36,6;12,7;EN50155,IEC/EN60950-1;Short Circuit Protection,Over Voltage Protection,Over Load Protection,Over Temperature Protection;;-40;85;;;;;;;;;;;;;;;;;;;
42;recom;RP120Q-RW;RP120Q-11005SRW;DC/DC;;;40;160;;120;1;04:01;89;60;VAC;3000;;;5;;;24000;;;;;;;;;8;PCB Mount;THT;mm;57,9;36,6;12,7;EN50155,IEC/EN60950-1,RoHS2+;Short Circuit Protection,Over Voltage Protection,Over Load Protection,Over Temperature Protection;;-40;85;;;;;;;;;;;;;;;;;;;
43;recom;RP120Q-RW;RP120Q-2405SRW;DC/DC;;;9;36;;120;1;;89;60;VDC;2250;;;5;;;;;;;;;;;;8;PCB Mount;THT;mm;57,9;36,6;12,7;EN50155,IEC/EN60950-1,RoHS2+;Short Circuit Protection,Over Voltage Protection,Over Load Protection,Over Temperature Protection;;-40;85;;;;;;;;;;;;;;;;;;;
44;recom;RP120Q-RW;RP120Q-2405SRW/N-HC;DC/DC;;;9;36;;120;1;;89;60;VDC;2250;;;5;;;;;;;;;;;;8;PCB Mount;THT;mm;57,9;36,6;18,8;EN50155,IEC/EN60950-1,RoHS2+;Short Circuit Protection,Over Voltage Protection,Over Load Protection,Over Temperature Protection;;-40;85;;;;;;;;;;;;;;;;;;;
45;recom;RP120Q-RW;RP120Q-2405SRW/P;DC/DC;;;9;36;;120;1;;;60;VDC;2250;;;5;;;;;;;;;;;;8;PCB Mount;THT;mm;57,9;36,6;12,7;EN50155,IEC/EN60950-1,REACHcompliant,RoHS2+;Short Circuit Protection,Over Voltage Protection,Over Load Protection,Over Temperature Protection;;-40;85;;;;;;;;;;;;;;;;;;;
46;recom;RP120Q-RW;RP120Q-2405SRW;DC/DC;;;9;36;;120;1;;89;60;VDC;2250;;;5;;;24;;;Single;;;;;;8;PCB Mount;THT;mm;57,9;36,6;12,7;EN50155,IEC/EN60950-1,RoHS2+;Short Circuit Protection,Over Voltage Protection,Over Load Protection,Over Temperature Protection;;-40;85;;;;;;;;;;;;;;;;;;;
