id,company,product_series_id,part_number,converter_type,ac_voltage_input_min,ac_voltage_input_max,dc_voltage_input_min,dc_voltage_input_max,input_voltage_tolerance,power,is_regulated,regulation_voltage_range,efficiency,voltage_output_1,voltage_output_2,voltage_output_3,i_out1,i_out2,i_out3,output_type,pin_count,mounting_type,connection_type,dimensions_unit,dimensions_length,dimensions_width,dimensions_height,operating_temp_min,operating_temp_max,created_at,updated_at
1,recom,1,REM1-0505S,DC/DC,,,4.5,5.5,10,1,false,,80,5,,,0.2,,,Single,4,PCB Mount,THT,mm,19.6,6,10.2,-40,85,2025-04-22 19:37:35.730,2025-04-22 19:37:35.730
2,recom,1,REM1-0512S,DC/DC,,,4.5,5.5,10,1,false,,84,12,,,0.084,,,Single,4,PCB Mount,THT,mm,19.6,6,10.2,-40,85,2025-04-22 19:37:35.730,2025-04-22 19:37:35.730
3,recom,1,REM1-053.3S,DC/DC,,,4.5,5.5,10,1,false,,79,3.3,,,0.303,,,Single,4,PCB Mount,THT,mm,19.6,6,10.2,-40,85,2025-04-22 19:37:35.730,2025-04-22 19:37:35.730
4,recom,1,REM1-1205S,DC/DC,,,10.8,13.2,,1,false,,81,5,,,0.2,,,Single,4,PCB Mount,THT,mm,19.6,6,10.2,-40,85,2025-04-22 19:37:35.730,2025-04-22 19:37:35.730
5,recom,1,REM1-123.3S,DC/DC,,,10.8,13.2,10,1,false,,78,3.3,,,0.303,,,Single,4,PCB Mount,THT,mm,19.6,6,10.2,-40,85,2025-04-22 19:37:35.730,2025-04-22 19:37:35.730
6,recom,1,REM1-1505S,DC/DC,,,13.5,16.5,10,1,false,,81,5,,,,,,Single,4,PCB Mount,THT,mm,19.6,6,10.2,-40,85,2025-04-22 19:37:35.730,2025-04-22 19:37:35.730
7,recom,1,REM1-153.3S,DC/DC,,,13.5,16.5,,1,,,77,3.3,,,0.303,,,Single,4,PCB Mount,THT,mm,19.6,6,10.2,-40,85,2025-04-22 19:37:35.730,2025-04-22 19:37:35.730
8,recom,1,REM1-2405S,DC/DC,,,21.6,26.4,10,1,false,,80,5,,,0.2,,,Single,4,PCB Mount,THT,mm,19.6,6,10.2,-40,85,2025-04-22 19:37:35.730,2025-04-22 19:37:35.730
9,recom,1,REM1-243.3S,DC/DC,,,24,24,10,1,false,,76,3.3,,,0.303,,,Single,4,PCB Mount,THT,mm,19.6,6,10.2,-40,85,2025-04-22 19:37:35.730,2025-04-22 19:37:35.730
10,recom,1,REM1-3.305S,DC/DC,,,3.3,3.3,10,1,false,,81,5,,,0.2,,,Single,4,PCB Mount,THT,mm,19.6,6,10.2,-40,85,2025-04-22 19:37:35.730,2025-04-22 19:37:35.730
11,recom,1,REM1-3.312S,DC/DC,,,3.3,3.3,10,1,false,,85,12,,,0.084,,,Single,4,PCB Mount,THT,mm,19.6,6,10.2,-40,85,2025-04-22 19:37:35.730,2025-04-22 19:37:35.730
12,recom,1,REM1-3.33.3S,DC/DC,,,3,3.6,10,1,false,,78,3.3,,,0.303,,,Single,4,PCB Mount,THT,mm,19.6,6,10.2,-40,85,2025-04-22 19:37:35.730,2025-04-22 19:37:35.730
13,recom,2,REDIIN240-24,AC/DC,90,264,,,,240,true,,90,24,,,,,,Single,5,DIN-Rail,Terminal,mm,123.6,40,116.8,-30,70,2025-04-22 19:37:35.730,2025-04-22 19:37:35.730
14,recom,2,REDIIN240-48,AC/DC,90,264,,,,240,,,90.5,48,,,5,,,Single,5,DIN-Rail,,mm,123.6,40,116.8,-30,70,2025-04-22 19:37:35.730,2025-04-22 19:37:35.730
15,recom,3,REDIIN480-24,AC/DC,90,264,,,,480,true,,93,24,,,,,,,4,DIN-Rail,,mm,123.6,56,116.8,-30,70,2025-04-22 19:37:35.730,2025-04-22 19:37:35.730
16,recom,3,REDIIN480-48,AC/DC,90,264,,,,480,true,,93.5,48,,,,,,,5,DIN-Rail,,mm,123.6,56,116.8,-30,70,2025-04-22 19:37:35.730,2025-04-22 19:37:35.730
17,recom,4,RAC15-05SK/480,AC/DC,85,528,,,,15,true,,86,5,,,3,,,Single,4,PCB Mount,THT,mm,52.5,40,25.5,-40,90,2025-04-22 19:37:35.730,2025-04-22 19:37:35.730
